CASRN,SMILES
72178-02-0,CS(=O)(=O)NC(=O)C1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O
944-22-9,CCOP(=S)(CC)SC1=CC=CC=C1
77182-82-2,[NH4+].CP(O)(=O)CCC(N)C([O-])=O
1071-83-6,OC(=O)CNCP(O)(O)=O
79277-27-3,COC(=O)C1=C(C=CS1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1
51235-04-2,CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C
74-90-8,C#N
35554-44-0,ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C
36734-19-7,CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1
33820-53-0,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O
77501-63-4,CCOC(=O)C(C)OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O
7439-92-1,[Pb]
330-55-2,CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1
83055-99-6,COC(=O)C1=C(CS(=O)(=O)NC(=O)NC2=NC(OC)=CC(OC)=N2)C=CC=C1
57837-19-1,COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C
10265-92-6,COP(N)(=O)SC
21087-64-9,CSC1=NN=C(C(=O)N1N)C(C)(C)C
2212-67-1,CCSC(=O)N1CCCCCC1
300-76-5,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
15299-99-7,CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1
27314-13-2,CNC1=C(Cl)C(=O)N(N=C1)C1=CC=CC(=C1)C(F)(F)F
85509-19-9,C[Si](CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=CC=C(F)C=C1
19044-88-3,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O
42874-03-3,CCOC1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O
76738-62-0,CC(C)(C)[C@@H](O)[C@@H](CC1=CC=C(Cl)C=C1)N1C=NC=N1
40487-42-1,CCC(CC)NC1=C(C(C)=C(C)C=C1[N+]([O-])=O)[N+]([O-])=O
13684-63-4,COC(=O)NC1=CC(OC(=O)NC2=CC=CC(C)=C2)=CC=C1
2310-17-0,CCOP(=S)(OCC)SCN1C(=O)OC2=CC(Cl)=CC=C12
732-11-6,COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O
67747-09-5,CCCN(CCOC1=C(Cl)C=C(Cl)C=C1Cl)C(=O)N1C=CN=C1
7287-19-6,CSC1=NC(NC(C)C)=NC(NC(C)C)=N1
1918-16-7,CC(C)N(C(=O)CCl)C1=CC=CC=C1
2312-35-8,CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1
60207-90-1,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1
81335-77-5,CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O
13593-03-8,CCOP(=S)(OCC)OC1=CN=C2C=CC=CC2=N1
78587-05-0,C[C@H]1[C@@H](SC(=O)N1C(=O)NC1CCCCC1)C1=CC=C(Cl)C=C1
74051-80-2,CCCC(=NOCC)C1=C(O)CC(CC(C)SCC)CC1=O
88671-89-0,CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1
34014-18-1,CNC(=O)N(C)C1=NN=C(S1)C(C)(C)C
5902-51-2,CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C
886-50-0,CCNC1=NC(SC)=NC(NC(C)(C)C)=N1
3689-24-5,CCOP(=S)(OCC)OP(=S)(OCC)OCC
28249-77-6,CCN(CC)C(=O)SCC1=CC=C(Cl)C=C1
66841-25-6,CC1(C)[C@@H](C(Br)C(Br)(Br)Br)[C@H]1C(=O)O[C@H](C#N)C1=CC(OC2=CC=CC=C2)=CC=C1
82097-50-5,COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(OCCCl)C=CC=C2)=N1
58138-08-2,ClC1=CC(=CC(Cl)=C1)C1(CC(Cl)(Cl)Cl)CO1
1929-77-7,CCCSC(=O)N(CCC)CCC
52-51-7,OCC(Br)(CO)[N+]([O-])=O
10605-21-7,COC(=O)NC1=NC2=CC=CC=C2N1
2675-77-6,COC1=CC(Cl)=C(OC)C=C1Cl
